SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 1 in mg/L,Pb Bottle 2 (ppb) - 45 secs flushing,Pb Bottle 2 in mg/L,Pb Bottle 3 (ppb) - 2 mins flushing,Pb Bottle 3 in mg/L,Notes
114,48505,1,2.054,0.002054,3.978,0.003978000000000001,0.355,0.00035499999999999996,
115,48506,7,3.744,0.0037440000000000004,5.592,0.005592,2.476,0.002476,
116,48507,9,12.9,0.0129,2.202,0.002202,1.667,0.001667,
117,48505,1,0.543,0.0005430000000000001,0.183,0.000183,0.162,0.000162,
118,48503,7,6.877,0.006876999999999999,2.984,0.002984,2.201,0.0022010000000000003,
119,48505,1,0.552,0.0005520000000000001,0.19,0.00019,0.205,0.000205,
122,48506,4,0.349,0.00034899999999999997,0.13,0.00013000000000000002,0.131,0.000131,
123,48506,4,4.764,0.004764,1.388,0.001388,1.06,0.00106,
124,48506,4,0.832,0.000832,0.284,0.00028399999999999996,0.214,0.000214,
125,48506,4,1.224,0.001224,0.568,0.0005679999999999999,0.465,0.000465,
126,48507,9,15.9,0.0159,3.7,0.0037,2.2,0.0022,
127,48506,4,5.667,0.005667,1.405,0.001405,0.896,0.000896,
128,48506,4,3.564,0.003564,2.767,0.002767,2.127,0.002127,
129,48506,4,0.475,0.000475,0.2,0.0002,0.268,0.000268,
130,48507,9,5.3,0.0053,0.5,0.0005,0.2,0.0002,
131,48506,4,1.166,0.001166,0.736,0.000736,0.269,0.00026900000000000003,
132,48506,4,0.684,0.000684,0.306,0.000306,0.094,9.4e-05,
133,48503,8,6.347,0.006347,1.724,0.001724,0.678,0.000678,
134,48507,9,10.56,0.01056,5.672,0.005672,4.813,0.004813,
135,48502,5,2.273,0.0022730000000000003,2.808,0.0028079999999999997,3.048,0.003048,
136,48505,1,1.571,0.001571,1.265,0.0012649999999999998,0.316,0.000316,
137,48503,8,5.402,0.0054020000000000006,4.196,0.004196,1.945,0.0019450000000000001,
139,48503,8,1.492,0.001492,1.409,0.001409,0.378,0.000378,
